t_name,gene_name,male_10,male_11,male_12,male_13,male_14A,male_14B,male_14C,male_14D,female_10,female_11,female_12,female_13,female_14A,female_14B,female_14C,female_14D
FBtr0083977,tRNA:CR31333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0343919,CR44947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083986,CG10830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083978,CG5621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0335015,CG5621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0335016,CG5621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083985,TotX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083984,CG31191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0344322,CG31191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0335017,CR44106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0309759,snoRNA:CG31191-a,0.39372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083979,hdly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334919,hdly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0113257,hdly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0333324,Atpalpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0089510,Atpalpha,8.630942,0,0.296221,0,0,0,0,0,9.296498,0,0,0.710807,0,0,0,0
FBtr0333325,Atpalpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0089509,Atpalpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0089514,Atpalpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0089515,Atpalpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0300191,Atpalpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0089511,Atpalpha,3.659945,0,0.277848,0,0,0,0,0,5.768267,0,0,0,0,0,0,0
FBtr0089512,Atpalpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0089513,Atpalpha,4.678028,0,0.211209,0,0,0,0,0,10.142195,0,0,0.508038,0,0,0,0
FBtr0089516,Atpalpha,5.938071,13.224233,10.882169,0,1.73616,0,0,0,7.399333,37.84824,17.628237,0,0,0,0,0
FBtr0309204,Calx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083998,Calx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0309205,Calx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083999,Calx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0309203,Calx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0309176,CG43446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0309177,CG43446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0344316,Calx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0344317,Calx,0.907224,0,0,0,0,0,0,0,0,0,1.746473,0,0,0,0,0
FBtr0309202,Calx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084000,Calx,0,0,0,0,0,0,0,0,1.056814,0,1.339221,0,0,0,0,0
FBtr0084048,CG10827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084001,CG5697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0309206,CG5697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0309207,CG5697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0309208,CG5697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084002,Rlip,25.388527,21.720823,28.538797,0,0,0,0,5.073205,23.831682,21.560432,22.932295,15.19116,0,0,8.156286,0
FBtr0336772,Rlip,0,2.447958,0,0,0,0,0,0,0,6.34072,4.047449,0,0,0,0,0
