t_name,male_10,male_11,male_12,male_13,male_14,female_10,female_11,female_12,female_13,female_14
FBtr0299789,0,0,0,0,0,0,0,0,0,4.867739
FBtr0082423,121.905174,134.301727,148.41214,140.63736,205.906845,115.256462,155.719635,129.528473,200.703873,206.020294
FBtr0082443,6.425186,0,0,0,0,0,0,0,0,0
FBtr0082440,79.381638,42.354271,56.977634,66.216873,106.426933,72.778061,67.717995,73.17894,106.438103,99.110786
FBtr0082442,0,31.422239,14.640511,15.868675,14.306988,9.959196,14.034979,13.798198,21.363665,19.121302
FBtr0290205,0.735271,3.745078,4.703367,1.391616,5.940156,3.496389,1.004127,7.002015,0.694264,2.500516
FBtr0335213,13.777971,21.477848,40.615158,37.500774,22.507648,16.603701,24.468193,16.247715,40.622124,15.483645
FBtr0082424,42.213184,14.498836,41.663456,47.894794,21.423132,36.487202,24.684147,37.128273,56.800888,43.689575
FBtr0082439,0,0,0,0,0,0,0,0,0,0
FBtr0082438,0,0,0,0,0,0,0,0,0,0
FBtr0335212,0,0,0,0,0,0,0,0,0,0
FBtr0082437,0,0,0,0,0,0,0,0,0,0
FBtr0113346,0,0,0,0,0,0,0,0,0,0
FBtr0082435,0,0,0,0,0,0,0,0,0,0
FBtr0082425,0,0,0,0,0,0,0,0,0,0
FBtr0335209,0,0,0,0,0,0,0,0,0,0
FBtr0082426,0,0,0,0,0,0,0,0,0,0
FBtr0347165,0,0,0,0,0,0,0,0,0,0
FBtr0082427,0,0,0,0,0,0,0,0,0,0
FBtr0082428,0,0,0,0,0,0,0,0,0,0
FBtr0082429,0,0,0,0,0,0,0,0,0,0
FBtr0335210,0,0,0,0,0,0,0,0,0,0
FBtr0082430,0,0,0,0,0,0,1.606155,0,0,0
FBtr0335211,0,0,0,0,0,0,1.755237,0,0,0
FBtr0082434,45.194672,17.583544,34.345173,21.404224,0,38.565098,26.799559,42.680618,15.324975,1.02601
FBtr0082431,41.526581,0,44.462074,51.514915,52.760902,34.471996,32.587158,44.914268,47.750492,52.133427
FBtr0082432,15.526234,16.890917,10.842172,1.347358,1.421732,15.26688,17.876326,15.620524,5.314077,0
FBtr0082433,0.812802,3.873519,3.980482,0.35892,0.761026,3.388678,1.780923,0.891536,2.076239,2.214789
FBtr0330169,16.394115,17.835083,11.728363,19.697313,1.501204,16.318882,18.875574,16.493679,5.611121,0
FBtr0307892,0,0,0,0,0,0,0,0,0,0
FBtr0304646,1.055458,0,0,2.420724,1.727377,0,0.374351,1.058672,0.794158,1.547901
FBtr0082534,183.02272,228.330261,115.098961,155.188721,156.244614,170.784927,117.21949,162.427612,189.820602,261.688507
FBtr0082535,71.166077,8.356254,86.61795,66.329674,73.607651,28.334797,69.142998,78.274574,2.809003,42.810417
FBtr0110876,0,0,0,0,0,0,0,0,0,0
FBtr0305186,0,0,0,0,0,0,0,0,0,0
FBtr0307083,0,0,0,0,0,0,0,0,0,0
FBtr0307086,0,0,0,0,0,0,0,0,0,0
FBtr0082533,0,0,0,0,1.295728,0,0,0,0,0
FBtr0307082,0,0,0,0,0,0,0,0,0,0
FBtr0307087,0,0,0,0,1.550881,0,0,0,0,5.496743
FBtr0110877,0,0,0,0,1.111914,0,0,0,0,3.940922
FBtr0307085,0,0,0,0,0,0,0,0,0,0
FBtr0330170,0,0,0,0,1.111914,0,0,0,0,3.940924
FBtr0346237,0,0,0,0,0,0,0,0,0,0
FBtr0333819,0,0,0,0,0,0,0,0,0,0
FBtr0082531,0,0,0,0,0,0,0,0,0,0
FBtr0082471,0,0,0,0,0,0,0,0,0,0
FBtr0301826,0,0,0,0,0,0,0,0,0,0
FBtr0082470,0,0,0,0,0,0,0,0,0,0
FBtr0082472,0,0,0,0,0,0,0,0,0,0
FBtr0082529,0,0,0,0,0,0,0,0,0,0
FBtr0082530,0,0,0,0,0,0,0,0,0,0
FBtr0082526,0,0,0,0,0,0,0,0,0,0
FBtr0082527,0,0,0,0,0,0,0,0,0,0
FBtr0082528,0,0,0,0,0,0,0,0,0,0
FBtr0113391,0,0,0,0,0,0,0,0,0,0
FBtr0300622,0,0,0,0,0,0,0,0,0,0
FBtr0301023,0,0,0,0,0,0,0,0,0,0
FBtr0334891,0,0,0,0,0,0,0,0,0,0
FBtr0089917,0,32.380589,14.981525,13.186078,12.788401,10.667832,8.760202,17.493166,0,0
FBtr0089918,0,0,0,0,18.965216,0,0,1.166108,0,0
FBtr0089919,106.386749,105.313866,110.841454,107.474915,147.674011,101.200447,105.432289,100.679649,128.106171,146.975357
FBtr0082473,0,0,0,0,0,0,0,0,0,0
FBtr0082474,20.928026,51.086979,27.312073,25.071239,40.403385,32.724583,62.027847,21.925879,55.135593,28.375488
FBtr0334890,286.526031,371.029388,350.904144,364.225006,454.362152,300.057861,380.227448,288.389069,426.891571,395.55246
FBtr0082521,3.025204,0,0,0,0,1.944008,0,0.005082,3.735833,3.056957
FBtr0082522,0,0,0,0,0,0,0,0,0,0
