SAMPID	Gene	h1	h2	SMTSD	is_eGene
GTEX-OIZI-0008	ENSG00000168938.5	132	106	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000168994.13	31	25	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000169062.14	26	33	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000169223.14	100	96	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000169230.9	119	191	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000169371.13	31	25	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000169609.13	34	27	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000169908.11	206	159	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000170027.6	29	27	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000170899.10	47	92	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000170955.9	64	53	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000171135.13	106	102	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000171159.4	168	165	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000171497.4	30	28	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000171861.10	18	35	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000172086.7	56	67	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000172590.18	79	97	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000172775.16	24	27	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000172939.8	61	36	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000173221.13	33	33	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000173575.20	37	30	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000174307.6	61	93	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000174446.12	22	36	Cells - Cultured fibroblasts	TRUE
